Position,2023-04-09 13:52,2023-04-09 14:52,2023-04-09 15:52,2023-04-09 16:52,2023-04-09 17:52,2023-04-09 18:52,2023-04-09 19:52,2023-04-09 20:52,2023-04-09 21:52,2023-04-09 22:52,2023-04-09 23:52
中區-臺鐵-臺中車站建築物附設P,209,189,182,159,152,147,132,129,122,110,113
東區-民營-Lalaport(南館)P,374,384,405,337,228,168,121,29,0,0,0
東區-經發局-建國市場附屬P,528,551,549,544,490,439,412,400,395,397,401
東區-民營-大魯閣新時代購物中心地下P,106,106,71,40,80,59,0,0,0,0,0
東區-公有-南京立體P,707,711,707,693,613,570,535,493,478,475,478
東區-民營-站前秀泰S1地下P,125,125,125,125,118,123,122,87,46,29,14
東區-民營-站前秀泰S2地下P,120,120,120,117,120,120,101,53,12,0,0
東區-公有-忠孝P ,42,42,42,42,42,42,42,42,42,42,42
東區-民營-振興P,66,66,66,66,66,66,66,66,66,66,66
西屯區-民營-新光三越百貨股份有限公司台中中港分公司P,1029,1028,1052,1023,998,1028,948,660,184,0,0
西屯區-民營-大遠百地下P,1250,1240,1250,1233,1241,1250,1118,494,270,1250,1250
西屯區-公有(捷運市政府站)-市政公園P,539,661,650,590,532,471,390,324,296,275,272
西屯區-公有-惠新P,198,198,198,198,198,198,198,169,105,61,54
西屯區-公有-惠安P ,92,92,92,92,92,92,85,66,40,27,24
西屯區-公有-惠中P(A區),138,151,152,146,144,144,136,128,133,123,118
西屯區-公有-惠中P(B區),102,105,98,90,83,74,59,57,50,49,44
西屯區-公有-惠來立體P,163,209,201,167,140,128,113,106,101,102,99
西屯區-公有-惠順P,108,108,107,102,83,79,61,27,19,11,9
西屯區-公有-朝富P,171,171,171,157,165,158,119,66,28,17,16
西屯區-公有-創研22P-免費,483,472,476,486,505,516,511,519,526,532,534
西屯區-公有-創研26P-免費,268,272,299,312,307,266,259,263,261,263,259
西屯區-公有-中央公園北側P,10,35,174,247,152,27,3,2,1,2,2
西屯區-公有-中央公園南側P,217,199,207,209,220,238,243,235,229,231,231
北屯區-公有-臺中市中央公園地下P,400,401,414,424,422,429,445,439,447,451,463
北屯區-民營-城市車旅北屯迪卡儂站P,160,180,156,142,122,104,85,51,11,2,1
西屯區-公有-下石碑P,115,109,98,97,108,105,98,97,103,107,109
北屯區-公有-新平P,29,28,27,30,25,25,26,27,30,30,30
北屯區-公有-新平公園附屬P,56,58,55,57,54,50,40,32,33,33,34
西屯區-民營-福悠一場P,36,36,32,44,48,54,55,39,34,33,31
,0,0,0,0,0,0,0,0,0,0,0
北屯區-公有-中平P,17,16,14,16,14,14,11,12,9,10,10
西屯區-公有-大福P,13,8,9,9,8,10,11,7,6,6,6
西屯區-公有-大鵬P,7,6,3,3,3,7,10,8,5,5,6
北屯區-公有-敦化P,8,9,11,13,11,11,10,9,7,8,7
西屯區-民營-城市車旅-西安站P,0,0,0,0,0,0,0,0,0,0,0
西屯區-民營-愛買水湳P,257,257,257,257,257,257,257,257,257,257,257
西屯區-民營-逢甲大學凱旋P,176,176,176,176,176,176,176,176,176,176,176
西屯區-民營-安心P,20,20,20,20,20,20,20,20,20,20,20
西屯區-BOT-星享道公有P,216,202,205,220,255,304,307,271,253,228,216
西屯區-BOT-福星立體P,69,69,69,69,69,69,69,69,69,69,69
西屯區-公有-文修P,135,135,135,135,135,135,135,135,135,135,135
西屯區-公有-逢甲P,221,216,209,213,209,224,226,220,222,214,209
西屯區-民營-車王P,42,42,42,42,42,42,42,42,42,42,42
西屯區-民營-台灣聯通台中逢甲星P,39,39,39,39,39,39,39,39,39,39,39
西屯區-民營-新力P,30,30,30,30,30,30,30,30,30,30,30
西屯區-民營-新豐P,30,30,30,30,30,30,30,30,30,30,30
西屯區-民營-逢甲文華P,27,27,27,27,27,27,27,27,27,27,27
西屯區-民營-乙登P,21,21,21,21,21,21,21,21,21,21,21
西屯區-民營-逢甲上石P,19,19,19,19,19,19,19,19,19,19,19
西屯區-民營-好P(第三場),19,19,19,19,19,19,19,19,19,19,19
西屯區-民營-台灣聯通台中逢甲P,18,18,18,18,18,18,18,18,18,18,18
西屯區-民營-傑生P(第一場),18,18,18,18,18,18,18,18,18,18,18
西屯區-民營-傑生P(第二場),16,16,16,16,16,16,16,16,16,16,16
,0,0,0,0,0,0,0,0,0,0,0
西屯區-民營-二少P(第一場),11,11,11,11,11,11,11,11,11,11,11
西屯區-民營-華廈P,11,11,11,11,11,11,11,11,11,11,11
西屯區-民營-二少P(第二場),12,12,12,12,12,12,12,12,12,12,12
西屯區-民營-好P(第二場),10,10,10,10,10,10,10,10,10,10,10
,0,0,0,0,0,0,0,0,0,0,0
西屯區-民營-福星北二P,5,5,5,5,5,5,5,5,5,5,5
西屯區-民營-奎溢P,5,5,5,5,5,5,5,5,5,5,5
西屯區-民營-北一街P,4,4,4,4,4,4,4,4,4,4,4
北區-公有-雙十國中地下P,100,100,100,100,100,100,100,100,100,100,100
北區-民營-中友P,100,101,100,102,104,103,90,13,0,0,0
北區-公有-新興P,191,191,191,191,191,191,189,173,118,55,35
北區-公有-臺中公園地下P,440,440,440,440,440,440,440,440,440,440,440
,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0
北區-民營-中國醫藥大學五權立體P,381,388,372,342,314,308,261,216,175,148,148
北區-科博-科博館第一(博館路)停車場,89,89,89,54,76,68,50,31,30,30,30
北區-科博-科博館第二(植物園)停車場,36,36,36,36,36,36,36,36,36,36,36
北區-科博-科博館第三(西屯)停車場,168,168,146,95,33,19,12,13,13,13,14
西區-民營-廣三SOGO停車場,367,355,311,275,291,347,289,166,0,0,0
西區-觀旅局-草悟廣場地下P,228,228,228,228,226,213,168,103,57,31,30
西區-民營-台灣聯通勤美誠品P,742,821,857,851,803,737,654,517,377,363,361
,0,0,0,0,0,0,0,0,0,0,0
西區-民營-Times台中博館三街P,8,8,8,8,8,8,8,8,8,8,8
西區-民營-OSCAR Park 1P,20,20,20,20,20,20,20,20,20,20,20
南屯區-公有-文心森林公園附屬P,105,117,117,117,117,93,80,70,64,57,53
南屯區-公有(捷運文心森林公園站)-惠文P,235,310,310,295,251,180,134,113,94,92,88
南屯區-民營-宜家家居台中店P,555,555,555,555,555,555,555,555,555,555,555
西區-國美館-國美館美術園區P,128,128,128,112,85,31,5,0,0,0,0
西區-國美館-國美館民生園區P,87,87,87,87,87,68,50,33,25,26,26
西區-文化局-臺中市大墩文化中心平面P,50,50,50,50,23,7,0,0,0,0,0
西區-公有-美村P,100,98,100,101,101,91,69,60,47,41,42
,0,0,0,0,0,0,0,0,0,0,0
北屯區-公有(捷運四維國小站)-三光P,42,57,52,46,42,31,28,25,22,23,23
西屯區-公有(捷運市政府站)-市政公園P,539,661,650,590,532,471,390,324,296,275,272
南屯區-公有(捷運水安宮站)-水安宮地下P,90,95,90,92,88,95,97,95,83,75,73
南屯區-公有(捷運文心森林公園站)-惠文P,235,310,310,295,251,180,134,113,94,92,88
南屯區-公有(捷運豐樂公園站)-豐樂P,361,361,361,361,340,323,266,177,87,48,46
南屯區-公有(捷運豐樂公園站)-豐功P,96,78,38,36,88,91,94,65,23,21,23
