Position,2023-04-09 13:52,2023-04-09 14:52,2023-04-09 15:52,2023-04-09 16:52,2023-04-09 17:52,2023-04-09 18:52,2023-04-09 19:52,2023-04-09 20:52,2023-04-09 21:52,2023-04-09 22:52,2023-04-09 23:52,2023-04-10 00:52,2023-04-10 01:52,2023-04-10 02:52,2023-04-10 03:52,2023-04-10 04:52,2023-04-10 05:52,2023-04-10 06:52,2023-04-10 07:52,2023-04-10 08:52,2023-04-10 09:52,2023-04-10 10:52,2023-04-10 11:52,2023-04-10 12:52,2023-04-10 13:52,2023-04-10 14:52,2023-04-10 15:52,2023-04-10 16:52,2023-04-10 17:52,2023-04-10 18:52,2023-04-10 19:52,2023-04-10 20:52,2023-04-10 21:52,2023-04-10 22:52,2023-04-10 23:52
中區-臺鐵-臺中車站建築物附設P,209,189,182,159,152,147,132,129,122,110,113,110,108,106,107,108,108,114,126,133,155,147,145,144,140,161,158,155,148,140,133,129,133,131,96
東區-民營-Lalaport(南館)P,374,384,405,337,228,168,121,29,0,0,0,0,0,0,0,0,0,0,0,0,1,27,83,181,203,174,156,130,66,26,21,0,0,0,0
東區-經發局-建國市場附屬P,528,551,549,544,490,439,412,400,395,397,401,400,402,403,408,411,417,415,413,411,405,400,405,404,404,408,399,399,398,392,398,401,396,395,397
東區-民營-大魯閣新時代購物中心地下P,106,106,71,40,80,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東區-公有-南京立體P,707,711,707,693,613,570,535,493,478,475,478,484,487,487,488,487,485,484,470,475,462,451,449,448,441,445,459,464,484,481,482,473,484,484,484
東區-民營-站前秀泰S1地下P,125,125,125,125,118,123,122,87,46,29,14,5,0,0,0,0,0,0,0,0,11,23,46,67,54,61,53,41,47,52,52,43,30,23,7
東區-民營-站前秀泰S2地下P,120,120,120,117,120,120,101,53,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,15,26,24,21,22,23,17,0,0,0
東區-公有-忠孝P ,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
東區-民營-振興P,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
西屯區-民營-新光三越百貨股份有限公司台中中港分公司P,1029,1028,1052,1023,998,1028,948,660,184,0,0,0,0,0,0,0,0,0,0,0,0,14,363,622,757,728,626,489,427,440,493,288,0,0,0
西屯區-民營-大遠百地下P,1250,1240,1250,1233,1241,1250,1118,494,270,1250,1250,1250,87,81,3,0,0,1250,0,1,1250,70,354,980,1250,1250,947,1250,898,1003,1250,445,253,1250,1250
西屯區-公有(捷運市政府站)-市政公園P,539,661,650,590,532,471,390,324,296,275,272,275,255,254,253,252,253,260,420,762,851,865,875,870,878,892,856,792,565,442,370,319,293,277,271
西屯區-公有-惠新P,198,198,198,198,198,198,198,169,105,61,54,48,40,38,38,36,35,35,45,67,84,110,164,198,184,198,196,168,166,174,187,173,110,66,50
西屯區-公有-惠安P ,92,92,92,92,92,92,85,66,40,27,24,22,22,22,21,21,21,21,24,34,45,63,85,81,91,92,85,78,66,62,61,47,39,23,21
西屯區-公有-惠中P(A區),138,151,152,146,144,144,136,128,133,123,118,119,118,120,121,121,120,115,110,127,134,140,143,151,154,161,157,162,168,152,145,134,133,125,125
西屯區-公有-惠中P(B區),102,105,98,90,83,74,59,57,50,49,44,41,42,44,44,45,44,49,60,69,71,74,76,82,85,87,82,75,59,61,65,61,58,50,49
西屯區-公有-惠來立體P,163,209,201,167,140,128,113,106,101,102,99,97,97,98,98,98,98,99,122,281,329,328,313,283,288,289,272,255,223,173,159,144,129,125,121
西屯區-公有-惠順P,108,108,107,102,83,79,61,27,19,11,9,9,8,7,8,8,8,7,24,59,81,97,94,94,100,106,105,93,75,56,36,30,25,18,16
西屯區-公有-朝富P,171,171,171,157,165,158,119,66,28,17,16,12,8,5,5,5,4,4,8,56,81,112,126,152,143,156,139,118,97,81,67,38,23,11,9
西屯區-公有-創研22P-免費,483,472,476,486,505,516,511,519,526,532,534,538,551,554,556,555,550,539,534,554,559,554,552,545,536,538,540,540,529,532,535,527,537,545,547
西屯區-公有-創研26P-免費,268,272,299,312,307,266,259,263,261,263,259,261,260,260,0,260,261,257,253,250,250,250,247,249,252,247,250,252,253,246,254,256,251,250,252
西屯區-公有-中央公園北側P,10,35,174,247,152,27,3,2,1,2,2,1,1,1,1,1,0,0,0,3,3,2,2,1,5,3,5,4,4,4,3,4,3,2,4
