Position,2023-04-13 15:29,2023-04-13 16:29,2023-04-13 17:29,2023-04-13 18:29,2023-04-13 19:29,2023-04-13 20:29,2023-04-13 21:29,2023-04-13 22:29,2023-04-13 23:29
中區-臺鐵-臺中車站建築物附設P,131,133,142,132,122,117,111,110,83
東區-民營-Lalaport(南館)P,156,113,49,42,32,27,0,0,0
東區-經發局-建國市場附屬P,407,408,405,405,406,410,407,407,409
東區-民營-大魯閣新時代購物中心地下P,0,0,0,0,0,0,0,0,0
東區-交通局-南京立體P,458,464,477,480,486,494,497,498,495
東區-民營-站前秀泰S1地下P,30,32,36,49,72,71,39,21,10
東區-民營-站前秀泰S2地下P,12,1,2,0,14,17,17,0,0
東區-交通局-忠孝P ,42,42,42,42,42,42,42,42,42
東區-民營-振興P,66,66,66,66,66,66,66,66,66
西屯區-民營-新光三越百貨股份有限公司台中中港分公司P,724,603,476,479,557,433,171,0,0
西屯區-民營-大遠百地下P,1250,904,1250,889,976,562,301,1250,112
西屯區-交通局(捷運市政府站)-市政公園P,821,777,645,484,398,333,304,279,267
西屯區-交通局-惠新P,198,191,182,171,183,178,132,76,64
西屯區-交通局-惠安P ,83,79,61,57,57,59,46,28,24
西屯區-交通局-惠中P(A區),153,154,157,147,138,130,134,131,116
西屯區-交通局-惠中P(B區),107,107,89,82,84,80,81,80,74
西屯區-交通局-惠來立體P,245,241,215,165,148,133,117,104,101
西屯區-交通局-惠順P,99,102,76,54,42,37,26,15,10
西屯區-交通局-朝富P,137,122,97,110,102,88,37,23,15
西屯區-交通局-創研22P-免費,531,537,535,546,542,545,538,533,539
西屯區-交通局-創研26P-免費,248,246,252,249,246,238,243,239,243
西屯區-交通局-中央公園北側P,1,1,4,3,3,1,2,2,2
西屯區-交通局-中央公園南側P,223,227,237,244,246,242,245,250,248
北屯區-交通局-臺中市中央公園地下P,430,432,437,442,452,454,458,466,470
北屯區-民營-城市車旅北屯迪卡儂站P,173,161,151,156,179,188,153,138,137
西屯區-交通局-下石碑P,83,85,93,89,91,92,95,95,96
北屯區-交通局-新平P,28,29,30,29,26,26,28,30,31
北屯區-交通局-新平公園附屬P,31,29,29,35,39,34,30,31,32
西屯區-民營-福悠一場P,47,44,38,50,45,51,41,38,30
,0,0,0,0,0,0,0,0,0
北屯區-交通局-中平P,12,10,10,13,13,11,9,11,11
西屯區-交通局-大福P,12,11,12,12,12,13,9,8,8
西屯區-交通局-大鵬P,8,10,11,14,12,11,10,7,7
北屯區-交通局-敦化P,8,8,7,6,7,5,6,6,6
西屯區-民營-城市車旅-西安站P,0,0,0,0,0,0,0,0,0
西屯區-民營-愛買水湳P,257,257,257,257,257,257,257,257,257
西屯區-民營-逢甲大學凱旋P,176,176,176,176,176,176,176,176,176
西屯區-民營-安心P,20,20,20,20,20,20,20,20,20
西屯區-BOT-星享道公有P,229,223,230,246,258,246,250,245,237
西屯區-BOT-福星立體P,69,69,69,69,69,69,69,69,69
西屯區-交通局-文修P,135,135,135,135,135,135,135,135,135
西屯區-交通局-逢甲P,227,216,208,212,215,212,207,203,200
西屯區-民營-車王P,42,42,42,42,42,42,42,42,42
西屯區-民營-台灣聯通台中逢甲星P,39,39,39,39,39,39,39,39,39
西屯區-民營-新力P,30,30,30,30,30,30,30,30,30
西屯區-民營-新豐P,30,30,30,30,30,30,30,30,30
西屯區-民營-逢甲文華P,27,27,27,27,27,27,27,27,27
西屯區-民營-乙登P,21,21,21,21,21,21,21,21,21
西屯區-民營-逢甲上石P,19,19,19,19,19,19,19,19,19
西屯區-民營-好P(第三場),19,19,19,19,19,19,19,19,19
西屯區-民營-台灣聯通台中逢甲P,18,18,18,18,18,18,18,18,18
西屯區-民營-傑生P(第一場),18,18,18,18,18,18,18,18,18
西屯區-民營-傑生P(第二場),16,16,16,16,16,16,16,16,16
,0,0,0,0,0,0,0,0,0
西屯區-民營-二少P(第一場),11,11,11,11,11,11,11,11,11
西屯區-民營-華廈P,11,11,11,11,11,11,11,11,11
西屯區-民營-二少P(第二場),12,12,12,12,12,12,12,12,12
西屯區-民營-好P(第二場),10,10,10,10,10,10,10,10,10
,0,0,0,0,0,0,0,0,0
西屯區-民營-福星北二P,5,5,5,5,5,5,5,5,5
西屯區-民營-奎溢P,5,5,5,5,5,5,5,5,5
西屯區-民營-北一街P,4,4,4,4,4,4,4,4,4
北區-交通局-雙十國中地下P,100,100,100,100,100,100,100,100,100
北區-民營-中友P,66,50,43,47,90,69,0,0,0
北區-交通局-新興P,174,186,178,168,176,170,149,69,38
北區-交通局-臺中公園地下P,440,440,440,440,440,440,440,440,440
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
北區-民營-中國醫藥大學五權立體P,370,335,269,216,199,173,155,134,123
北區-科博-科博館第一(博館路)停車場,45,42,24,25,26,15,7,5,4
北區-科博-科博館第二(植物園)停車場,36,36,36,36,36,36,36,36,36
北區-科博-科博館第三(西屯)停車場,79,70,54,30,18,15,10,11,11
西區-民營-廣三SOGO停車場,68,51,41,98,126,82,3,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
西區-民營-Times台中博館三街P,8,8,8,8,8,8,8,8,8
西區-民營-OSCAR Park 1P,20,20,20,20,20,20,20,20,20
南屯區-交通局-文心森林公園附屬P,98,98,106,75,61,71,66,55,47
南屯區-交通局(捷運文心森林公園站)-惠文P,225,219,209,196,205,203,152,116,104
南屯區-民營-宜家家居台中店P,555,555,555,555,555,555,555,555,555
西區-國美館-國美館美術園區P,63,51,18,13,9,0,0,0,0
西區-國美館-國美館民生園區P,68,57,38,35,41,36,23,23,26
西區-文化局-臺中市大墩文化中心平面P,44,27,0,0,0,0,0,0,0
西區-交通局-美村P,65,62,58,63,71,65,50,40,37
,0,0,0,0,0,0,0,0,0
北屯區-交通局(捷運四維國小站)-三光P,42,42,36,32,41,38,30,25,25
西屯區-交通局(捷運市政府站)-市政公園P,821,777,645,484,398,333,304,279,267
南屯區-交通局(捷運水安宮站)-水安宮地下P,103,102,103,88,89,89,84,79,70
南屯區-交通局(捷運文心森林公園站)-惠文P,225,219,209,196,205,203,152,116,104
南屯區-交通局(捷運豐樂公園站)-豐樂P,91,92,80,89,112,97,71,56,54
南屯區-交通局(捷運豐樂公園站)-豐功P,43,38,38,50,63,44,28,25,23
南區-交通局(捷運大慶站)-大慶P,68,131,26,20,29,131,131,13,131
烏日區-公所(捷運烏日站)-烏日區停八P,47,51,51,57,57,51,51,51,71
豐原區-公有-豐原轉運中心停車場,126,123,115,108,109,109,111,115,117
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
豐原區-交通局-葫蘆墩圳平面P3,36,36,36,36,36,36,36,36,36
豐原區-交通局-葫蘆墩圳平面P4,32,32,32,32,32,32,32,32,32
豐原區-民營-全聯豐原向陽P,26,26,26,26,26,26,26,26,26
豐原區-民營-Times台中豐原向陽博愛P,16,16,16,16,16,16,16,16,16
,0,0,0,0,0,0,0,0,0
北屯區-民營-臺中洲際棒球場立體P,564,579,639,778,845,828,746,575,576
北屯區-交通局-仁德P,63,68,70,74,67,64,66,64,63
北屯區-建設局-(細廣停1)P,43,43,43,43,43,43,43,43,43
北屯區-交通局-廣兼停23平面P(仁和公園P),42,42,42,42,42,42,42,42,42
,0,0,0,0,0,0,0,0,0
北屯區-民營-幸福車房山西站P,7,7,7,7,7,7,7,7,7
