Position,2023-04-14 19:35,2023-04-14 20:35,2023-04-14 21:35,2023-04-14 22:35,2023-04-14 23:35
中區-臺鐵-臺中車站建築物附設P,160,152,137,132,126
東區-民營-Lalaport(南館)P,26,11,0,0,0
東區-經發局-建國市場附屬P,395,398,395,389,390
東區-民營-大魯閣新時代購物中心地下P,0,0,0,0,0
東區-交通局-南京立體P,481,485,481,484,488
東區-民營-站前秀泰S1地下P,83,81,61,36,17
東區-民營-站前秀泰S2地下P,37,37,13,0,0
東區-交通局-忠孝P ,42,42,42,42,42
東區-民營-振興P,66,66,66,66,66
西屯區-民營-新光三越百貨股份有限公司台中中港分公司P,668,630,328,0,0
西屯區-民營-大遠百地下P,1121,1250,350,1250,1250
西屯區-交通局-市政公園P,433,368,313,275,263
西屯區-交通局-惠新P,198,198,175,90,82
西屯區-交通局-惠安P ,92,91,66,38,33
西屯區-交通局-惠中P(A區),141,136,130,124,120
西屯區-交通局-惠中P(B區),83,92,96,90,92
西屯區-交通局-惠來立體P,127,119,112,106,102
西屯區-交通局-惠順P,62,53,45,33,22
西屯區-交通局-朝富P,158,131,63,33,24
西屯區-交通局-創研22P-免費,570,572,572,575,583
西屯區-交通局-創研26P-免費,260,255,253,255,257
西屯區-交通局-中央公園北側P,5,7,18,16,9
西屯區-交通局-中央公園南側P,259,256,241,239,240
北屯區-交通局-臺中市中央公園地下P,432,438,436,441,450
北屯區-民營-城市車旅北屯迪卡儂站P,200,204,171,138,135
西屯區-交通局-下石碑P,94,86,86,86,88
北屯區-交通局-新平P,33,31,33,34,32
北屯區-交通局-新平公園附屬P,40,33,30,32,32
西屯區-民營-福悠一場P,54,56,56,58,55
,0,0,0,0,0
北屯區-交通局-中平P,8,10,8,9,10
西屯區-交通局-大福P,11,11,7,6,6
西屯區-交通局-大鵬P,11,8,10,8,8
北屯區-交通局-敦化P,7,7,6,7,7
西屯區-民營-城市車旅-西安站P,0,0,0,0,0
西屯區-民營-愛買水湳P,257,257,257,257,257
西屯區-民營-逢甲大學凱旋P,176,176,176,176,176
西屯區-民營-安心P,20,20,20,20,20
西屯區-BOT-星享道公有P,295,316,306,285,271
西屯區-BOT-福星立體P,69,69,69,69,69
西屯區-交通局-文修P,135,135,135,135,135
西屯區-交通局-逢甲P,217,224,215,204,200
西屯區-民營-車王P,42,42,42,42,42
西屯區-民營-台灣聯通台中逢甲星P,39,39,39,39,39
西屯區-民營-新力P,30,30,30,30,30
西屯區-民營-新豐P,30,30,30,30,30
西屯區-民營-逢甲文華P,27,27,27,27,27
西屯區-民營-乙登P,21,21,21,21,21
西屯區-民營-逢甲上石P,19,19,19,19,19
西屯區-民營-好P(第三場),19,19,19,19,19
西屯區-民營-台灣聯通台中逢甲P,18,18,18,18,18
西屯區-民營-傑生P(第一場),18,18,18,18,18
西屯區-民營-傑生P(第二場),16,16,16,16,16
,0,0,0,0,0
西屯區-民營-二少P(第一場),11,11,11,11,11
西屯區-民營-華廈P,11,11,11,11,11
西屯區-民營-二少P(第二場),12,12,12,12,12
西屯區-民營-好P(第二場),10,10,10,10,10
,0,0,0,0,0
西屯區-民營-福星北二P,5,5,5,5,5
西屯區-民營-奎溢P,5,5,5,5,5
西屯區-民營-北一街P,4,4,4,4,4
北區-交通局-雙十國中地下P,100,100,100,100,100
北區-民營-中友P,101,101,11,0,0
北區-交通局-新興P,191,191,166,89,45
北區-交通局-臺中公園地下P,440,440,440,440,440
,0,0,0,0,0
,0,0,0,0,0
北區-民營-中國醫藥大學五權立體P,238,227,204,167,156
北區-科博-科博館第一(博館路)停車場,38,20,13,3,2
北區-科博-科博館第二(植物園)停車場,36,36,36,36,36
北區-科博-科博館第三(西屯)停車場,18,12,10,11,9
西區-民營-廣三SOGO停車場,216,178,67,0,0
西區-觀旅局-草悟廣場地下P,139,148,102,71,51
西區-民營-台灣聯通勤美誠品P,554,559,450,390,384
,0,0,0,0,0
西區-民營-Times台中博館三街P,8,8,8,8,8
西區-民營-OSCAR Park 1P,20,20,20,20,20
南屯區-交通局-文心森林公園附屬P,117,104,79,80,67
南屯區-交通局(捷運文心森林公園站)-惠文P,190,168,148,112,98
南屯區-民營-宜家家居台中店P,555,555,555,555,555
西區-國美館-國美館美術園區P,3,0,0,0,0
西區-國美館-國美館民生園區P,38,31,25,31,34
西區-文化局-臺中市大墩文化中心平面P,23,4,0,0,0
西區-交通局-美村P,98,88,64,43,42
,0,0,0,0,0
北屯區-交通局(捷運四維國小站)-三光P,37,47,37,29,30
西屯區-交通局-市政公園P,433,368,313,275,263
南屯區-交通局(捷運水安宮站)-水安宮地下P,89,93,87,80,79
南屯區-交通局(捷運文心森林公園站)-惠文P,190,168,148,112,98
南屯區-交通局(捷運豐樂公園站)-豐樂P,140,117,88,64,56
南屯區-交通局(捷運豐樂公園站)-豐功P,91,67,49,38,35
南區-交通局(捷運大慶站)-大慶P,27,131,8,6,3
烏日區-公所(捷運烏日站)-烏日區停八P,50,55,60,63,64
豐原區-公有-豐原轉運中心停車場,132,132,122,117,116
,0,0,0,0,0
,0,0,0,0,0
豐原區-交通局-葫蘆墩圳平面P3,36,36,36,36,36
豐原區-交通局-葫蘆墩圳平面P4,32,32,32,32,32
豐原區-民營-全聯豐原向陽P,26,26,26,26,26
豐原區-民營-Times台中豐原向陽博愛P,16,16,16,16,16
,0,0,0,0,0
北屯區-民營-臺中洲際棒球場立體P,1033,1026,992,798,573
北屯區-交通局-仁德P,113,108,82,74,75
北屯區-建設局-(細廣停1)P,43,43,43,43,43
北屯區-交通局-廣兼停23平面P(仁和公園P),42,42,42,42,42
北屯區-民營-台灣聯通台中崇美P,0,0,0,0,0
北屯區-民營-幸福車房山西站P,7,7,7,7,7
