Position,2023-04-14 19:35,2023-04-14 20:35,2023-04-14 21:35,2023-04-14 22:35,2023-04-14 23:35,2023-04-15 00:35,2023-04-15 01:35,2023-04-15 02:35,2023-04-15 03:35,2023-04-15 04:35,2023-04-15 05:35,2023-04-15 06:35,2023-04-15 07:35,2023-04-15 08:35,2023-04-15 09:35,2023-04-15 10:35,2023-04-15 11:35,2023-04-15 12:35,2023-04-15 13:35,2023-04-15 14:35,2023-04-15 15:35,2023-04-15 16:35,2023-04-15 17:35,2023-04-15 18:35,2023-04-15 19:35,2023-04-15 20:35,2023-04-15 21:35,2023-04-15 22:35,2023-04-15 23:35
中區-臺鐵-臺中車站建築物附設P,160,152,137,132,126,89,91,91,90,90,90,94,99,112,117,120,122,134,139,149,161,169,172,171,167,165,146,142,139
東區-民營-Lalaport(南館)P,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,93,178,168,148,38,0,148,90,0,0,0
東區-經發局-建國市場附屬P,395,398,395,389,390,391,395,400,423,459,480,506,535,567,600,563,518,497,471,501,542,531,472,449,431,402,387,384,386
東區-民營-大魯閣新時代購物中心地下P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,106,106,65,49,75,87,88,0,0,0,0
東區-交通局-南京立體P,481,485,481,484,488,487,491,490,493,493,493,496,505,511,512,531,525,546,592,617,628,621,571,562,550,530,481,452,461
東區-民營-站前秀泰S1地下P,83,81,61,36,17,11,2,0,0,0,0,0,0,0,0,75,121,125,125,125,125,122,125,125,125,115,68,45,32
東區-民營-站前秀泰S2地下P,37,37,13,0,0,0,0,0,0,0,0,0,0,0,0,0,59,114,120,120,86,108,115,120,116,99,41,8,0
東區-交通局-忠孝P ,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
東區-民營-振興P,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
西屯區-民營-新光三越百貨股份有限公司台中中港分公司P,668,630,328,0,0,0,0,0,0,0,0,0,0,0,0,112,636,995,1031,1037,1012,1006,992,1036,1028,901,509,55,9
西屯區-民營-大遠百地下P,1121,1250,350,1250,1250,111,103,81,5,0,1250,0,0,8,1250,203,1250,1162,1250,1250,1243,1250,1250,1247,1250,1213,405,1250,1250
西屯區-交通局-市政公園P,433,368,313,275,263,254,255,255,252,251,252,252,247,259,272,296,357,432,495,590,638,633,590,558,492,400,324,274,258
西屯區-交通局-惠新P,198,198,175,90,82,68,57,54,53,47,48,45,45,51,62,124,198,196,198,198,198,198,198,198,198,198,156,83,59
西屯區-交通局-惠安P ,92,91,66,38,33,28,29,29,28,28,28,28,29,27,21,50,92,92,92,92,92,92,92,92,92,77,55,27,23
西屯區-交通局-惠中P(A區),141,136,130,124,120,118,117,118,117,116,115,113,111,108,111,121,123,127,135,150,168,170,149,140,133,131,119,112,99
西屯區-交通局-惠中P(B區),83,92,96,90,92,79,77,76,75,75,74,76,85,89,88,91,89,107,98,109,108,106,76,78,68,58,54,49,48
西屯區-交通局-惠來立體P,127,119,112,106,102,102,102,101,101,101,101,100,105,111,121,128,128,134,150,199,203,191,161,132,126,112,108,105,97
西屯區-交通局-惠順P,62,53,45,33,22,18,13,15,16,12,9,5,8,10,21,47,86,107,108,108,108,108,108,107,100,88,49,28,20
西屯區-交通局-朝富P,158,131,63,33,24,15,13,12,11,10,10,9,13,18,35,61,115,171,171,171,169,171,171,171,170,154,77,43,31
西屯區-交通局-創研22P-免費,570,572,572,575,583,588,588,586,587,584,587,582,577,582,589,588,577,574,567,564,566,564,563,583,594,592,598,602,607
西屯區-交通局-創研26P-免費,260,255,253,255,257,265,264,264,264,264,266,268,271,275,272,275,278,280,274,276,289,311,312,294,295,289,287,280,283
西屯區-交通局-中央公園北側P,5,7,18,16,9,5,5,3,3,3,2,2,4,4,3,4,6,4,3,3,12,14,12,5,3,5,7,5,5
西屯區-交通局-中央公園南側P,259,256,241,239,240,241,241,241,242,241,241,237,229,225,220,215,215,239,239,209,214,225,237,253,260,258,234,237,242
北屯區-交通局-臺中市中央公園地下P,432,438,436,441,450,451,456,456,456,460,457,451,439,429,421,408,398,386,380,381,390,392,394,395,403,410,409,410,416
北屯區-民營-城市車旅北屯迪卡儂站P,200,204,171,138,135,135,135,135,135,135,135,135,135,136,10,45,91,88,130,167,148,149,134,127,123,121,56,8,6
西屯區-交通局-下石碑P,94,86,86,86,88,91,95,95,91,89,89,95,98,99,100,98,97,98,88,80,78,77,84,92,98,86,82,88,88
北屯區-交通局-新平P,33,31,33,34,32,33,34,33,34,34,34,33,32,28,29,27,26,27,28,27,30,30,29,29,28,26,28,29,30
北屯區-交通局-新平公園附屬P,40,33,30,32,32,32,33,34,34,34,34,34,34,36,34,34,36,40,41,46,42,44,34,38,46,38,32,0,0
西屯區-民營-福悠一場P,54,56,56,58,55,45,43,40,35,34,33,31,30,29,33,34,35,40,40,48,51,48,54,76,97,109,93,77,57
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北屯區-交通局-中平P,8,10,8,9,10,10,10,10,10,10,10,10,11,11,14,15,13,13,16,16,15,16,12,15,13,15,9,7,8
西屯區-交通局-大福P,11,11,7,6,6,6,6,6,6,6,6,17,17,17,17,17,17,14,13,9,9,9,8,7,8,6,6,6,6
西屯區-交通局-大鵬P,11,8,10,8,8,8,9,11,10,9,9,15,15,15,15,15,15,15,10,14,12,12,9,10,9,8,10,6,5
北屯區-交通局-敦化P,7,7,6,7,7,7,8,8,8,8,8,8,7,8,8,8,9,8,10,11,10,11,10,10,11,11,9,8,8
西屯區-民營-城市車旅-西安站P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
西屯區-民營-愛買水湳P,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257
西屯區-民營-逢甲大學凱旋P,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176
西屯區-民營-安心P,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
西屯區-BOT-星享道公有P,295,316,306,285,271,247,248,248,249,250,249,247,249,247,240,247,257,286,295,285,264,261,327,381,392,375,326,297,268
西屯區-BOT-福星立體P,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
西屯區-交通局-文修P,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
西屯區-交通局-逢甲P,217,224,215,204,200,197,198,198,198,193,194,193,191,188,183,193,208,214,213,212,214,212,220,239,234,223,212,209,202
西屯區-民營-車王P,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
西屯區-民營-台灣聯通台中逢甲星P,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
西屯區-民營-新力P,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
西屯區-民營-新豐P,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
西屯區-民營-逢甲文華P,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
西屯區-民營-乙登P,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
西屯區-民營-逢甲上石P,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
西屯區-民營-好P(第三場),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
西屯區-民營-台灣聯通台中逢甲P,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
西屯區-民營-傑生P(第一場),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
